user_id,fullname,abstracts
300,Daniel Münch,"Behavioral neuroscience aims to describe a causal relationship between neuronal processes and behavior. Animals' ever-changing physiological needs alter their internal states. Internal states then alter neuronal processes to adapt the behavior of the animal enabling it to meet its needs. Here, we describe nutrient-specific appetites as an attractive framework to study how internal states shape complex neuronal processes and resulting behavioral outcomes. Understanding how neurons detect nutrient states and how these are integrated at the level of neuronal circuits will provide a multilevel description of the mechanisms underlying complex feeding and foraging decisions."
78,Samuel G McClugage,"PURPOSE
Delayed intracranial hypertension (DIH) occurs most frequently in children with syndromic or multi-suture synostosis after surgical correction. The rarity of DIH in children with isolated non-syndromic sagittal synostosis (ISS) warrants follow-up evaluation by large craniofacial centers until skeletal maturity. This study reports the incidence of DIH in children following open repair for ISS by our center's craniofacial team.


METHODS
A single-center retrospective study of patients who underwent open calvarial vault remodeling (CVR) for ISS at our institution between November 2000 and November 2012 was performed. Syndromic and multi-suture synostosis patients were excluded. Demographic and follow-up data were extracted from the medical record for analysis until July 2017.


RESULTS
One hundred five patients with ISS were identified who had undergone CVR in the aforementioned timeframe. Average age at initial surgery was 11.7 ± 15.32 months. Mean follow-up in our craniofacial clinic was 4.94 ± 3.53 years, with 69 patients (65.7%) having follow-up in craniofacial clinic ≥ 3 years and 74 (70.5%) having follow-up ≥ 3 years in any clinic at our institution. Four patients (3.8%) had intracranial pressure (ICP) monitors placed for symptoms concerning for DIH, one of which (0.95%) had confirmed DIH and underwent a second surgical procedure at 7.4 years of age. The patient presented late initially, having his first operation at 1.56 years of age.


CONCLUSION
One patient out of 105 (0.95%) developed DIH, confirmed by ICP monitoring, and required reoperation. The occurrence of DIH, albeit rare, remains an important topic to include in parental discussions and mandates long-term follow-up in this population."
316,Mario Stampanoni Bassi,"OBJECTIVES
Skill acquisition after motor training involves synaptic long-term potentiation (LTP) in primary motor cortex (M1). In multiple sclerosis (MS), LTP failure ensuing from neuroinflammation could contribute to worsen clinical recovery. We therefore addressed whether practice-dependent plasticity is altered in MS.


METHODS
Eighteen relapsing-remitting (RR)-MS patients and eighteen healthy controls performed 600 fast abductions of index finger in 30 blocks of 20 movements. Before and after practice, transcranial magnetic stimulation (TMS) was delivered over the hot spot of the trained first dorsal interosseous muscle. Movements kinematics, measures of cortical excitability, and the input/output curves of motor evoked potentials (MEPs) were assessed.


RESULTS
Kinematic variables of movement improved with practice in patients and controls to a similar extent, although patients showed lower MEPs amplitude increase after practice. Practice did not change the difference in resting motor threshold values observed between patients and controls, nor did modulate short-interval intracortical inhibition. Clinical/radiological characteristics were not associated to practice-dependent effects.


CONCLUSIONS
Practice-induced reorganization of M1 is altered in non-disabled RR-MS patients, as shown by impaired MEPs modulation after motor learning.


SIGNIFICANCE
These findings suggest that in RR-MS physiological mechanisms of practice-dependent plasticity are altered."
335,Linghong Guo,"Purpose
Alcohol dependence (AD) is a relapsing mental disorder, typically occurring with concurrent tobacco misuse. Studies have reported disruption of the structural connectivity between hemispheres in the brain of individuals with AD. However, alterations in interhemispheric interactions and the specificity of frequency bands in individuals with AD remain unknown. Voxel-mirrored homotopic connectivity (VMHC) allows examination of functional interactions between mirrored interhemispheric voxels. Here, we use VMHC to investigate homotopic connectivity in AD and alcohol and nicotine co-dependence (AND) subjects.


Patients and methods
VMHC and seed-based functional connectivity (FC) in 24 AD, 30 AND, and 35 sex-, age-, and education-matched healthy control (HC) subjects were calculated for different frequency bands (slow-5, slow-4, and typical bands).


Results
Individuals with AD demonstrated significantly reduced VMHC in bilateral cerebellum posterior lobe (CPL) and increased VMHC in bilateral middle frontal gyrus (MFG) compared to that in HCs in the typical and slow-4 bands; higher VMHC in the MFG was positively correlated with the dependence-severity score. In all bands of the VMHC analysis, no significant differences were found between the AND and other groups. Subsequent seed-based FC analysis demonstrated all regions with abnormal VMHC exhibited altered FC with its counterpart in the contralateral hemisphere in the typical and slow-4 frequency bands. The FC value between bilateral CPL within AD subjects negatively correlated with alcohol intake.


Conclusion
Our findings provide further evidence of the role of disruptions within the brain circuitry supporting cognitive control in the development of AD. Alterations in neural activities in the CPL and MFG might be a biomarker of dependence severity in AD patients as assessed using clinical questionnaire and features. Because of the frequency specificity in VMHC, we must consider frequency effects in future AD functional magnetic resonance imaging studies."
215,A James Barkovich,"Neuroimaging enables the evaluation of many aspects of brain maturation, and detection of abnormalities such as malformation and injury. MRI is integral to the diagnostic work-up of congenital and acquired disorders of the central nervous system in newborns, and imaging findings are central to prognostication. This paper reviews techniques to optimize assessment of maturity of the neonatal brain, as well as abnormalities and injuries of the newborn brain that are associated with abnormal neurocognitive development."
649,Yana Suchy,"Objective: Executive functioning (EF) is critical for performance of instrumental activities of daily living, including medication management. Under complex conditions, daily activities require greater EF resources. This study examined if older adults who exhibit weaknesses in EF are at an increased risk for mismanaging their medications under complex contexts.Method: Participants were 50 non-Hispanic white community-dwelling older adults, ages 60-85. At a baseline visit, EF was assessed using the Push-Turn-Taptap task, and daily life complexity and medication regimen complexity were assessed using a structured interview. Medication management across the subsequent 8 weeks was assessed by weekly pill counts.Results: A general linear regression using at-home medication management as the dependent variable showed that EF and the interaction between EF and life complexity were significant predictors (both p values < .001). Specifically, life complexity had a deleterious impact on medication management, but only for older adults whose EF performance was in the bottom 22% of the sample. There was no association between medication regimen complexity and accuracy of medication management.Conclusions: These findings demonstrate that older adults who have even mild EF weaknesses are at an increased risk for mismanaging their medication when leading complex daily lives. These findings add support for the Contextually Valid Executive Assessment (ConVExA) model, which asserts that EF interacts with contextual factors as a predictor of functional outcomes."
40,Rebecca Calafiore,"BACKGROUND
Epstein-Barr virus associated smooth muscle tumors are rare neoplasms that have been found to develop in immunocompromised patients. Three distinct groups of affected patients have been described; 1) HIV-infected patients (HIV-SMT), 2) post-transplant patients (PT-SMT), and 3) patients with congenital immunodeficiency (CI-SMT). The tumors can develop anywhere in the body, with seventeen reported cases occurring in the spinal canal, all in patients with HIV-infection.


CASE DESCRIPTION
We report the first case of EBV-SMT affecting the spinal canal in a post-bone marrow transplant adult patient. Interestingly, unlike other reported cases, the patient described here had not been receiving immunosuppressive therapy in the two years prior to diagnosis of the tumor.


CONCLUSION
Despite the growing number of case reports, this diagnosis presents a challenge, as the pathophysiology and optimal treatment regimens are not well understood. Results of a literature review of EBV-SMT of the spine as well as a discussion of the presentation, management, and prognosis of this condition is presented here."
570,Simon M Danner,"Commissural interneurons (CINs) mediate interactions between rhythm-generating locomotor circuits located on each side of the spinal cord and are necessary for left-right limb coordination during locomotion. While glutamatergic V3 CINs have been implicated in left-right coordination, their functional connectivity remains elusive. Here, we addressed this issue by combining experimental and modeling approaches. We employed Sim1Cre/+; Ai32 mice, in which light-activated Channelrhodopsin-2 was selectively expressed in V3 interneurons. Fictive locomotor activity was evoked by NMDA and 5-HT in the isolated neonatal lumbar spinal cord. Flexor and extensor activities were recorded from left and right L2 and L5 ventral roots, respectively. Bilateral photoactivation of V3 interneurons increased the duration of extensor bursts resulting in a slowed down on-going rhythm. At high light intensities, extensor activity could become sustained. When light stimulation was shifted toward one side of the cord, the duration of extensor bursts still increased on both sides, but these changes were more pronounced on the contralateral side than on the ipsilateral side. Additional bursts appeared on the ipsilateral side not seen on the contralateral side. Further increase of the stimulation could suppress the contralateral oscillations by switching to a sustained extensor activity, while the ipsilateral rhythmic activity remained. To delineate the function of V3 interneurons and their connectivity, we developed a computational model of the spinal circuits consisting of two (left and right) rhythm generators (RGs) interacting via V0V, V0D, and V3 CINs. Both types of V0 CINs provided mutual inhibition between the left and right flexor RG centers and promoted left-right alternation. V3 CINs mediated mutual excitation between the left and right extensor RG centers. These interactions allowed the model to reproduce our current experimental data, while being consistent with previous data concerning the role of V0V and V0D CINs in securing left-right alternation and the changes in left-right coordination following their selective removal. We suggest that V3 CINs provide mutual excitation between the spinal neurons involved in the control of left and right extensor activity, which may promote left-right synchronization during locomotion."
155,Wenjing Zhang,"Abnormal neuroanatomic brain networks have been reported in schizophrenia, but their characterization across patients with psychotic disorders, and their potential alterations in nonpsychotic relatives, remain to be clarified. Participants recruited by the Bipolar and Schizophrenia Network for Intermediate Phenotypes consortium included 326 probands with psychotic disorders (107 with schizophrenia (SZ), 87 with schizoaffective disorder (SAD), 132 with psychotic bipolar disorder (BD)), 315 of their nonpsychotic first-degree relatives and 202 healthy controls. Single-subject gray matter graphs were extracted from structural MRI scans, and whole-brain neuroanatomic organization was compared across the participant groups. Compared with healthy controls, psychotic probands showed decreased nodal efficiency mainly in bilateral superior temporal regions. These regions had altered morphological relationships primarily with frontal lobe regions, and their network-level alterations were associated with positive symptoms of psychosis. Nonpsychotic relatives showed lower nodal centrality metrics in the prefrontal cortex and subcortical regions, and higher nodal centrality metrics in the left cingulate cortex and left thalamus. Diagnosis-specific analysis indicated that individuals with SZ had lower nodal efficiency in bilateral superior temporal regions than controls, probands with SAD only exhibited lower nodal efficiency in the left superior and middle temporal gyrus, and individuals with psychotic BD did not show significant differences from healthy controls. Our findings provide novel evidence of clinically relevant disruptions in the anatomic association of the superior temporal lobe with other regions of whole-brain networks in patients with psychotic disorders, but not in their unaffected relatives, suggesting that it is a disease-related trait. Network disorganization primarily involving frontal lobe and subcortical regions in nonpsychotic relatives may be related to familial illness risk."
722,Hala El-Habashy,"75% of multiple sclerosis (MS) patients have lower urinary tract symptoms. Moreover, up to 80% of asymptomatic patients show abnormalities on urodynamic examination. The objective of this study is to assess the effect of repetitive magnetic stimulation on the motor cortex versus sacral roots in MS patients with lower urinary tract dysfunction (LUTD). 40 MS patients with LUTD were divided according to urodynamic studies (UDS) into two groups (20 patients each): Group A (overactive bladder) and Group B (underactive bladder). Each group was further subdivided into Subgroup (A-I) and (B-I) which received cortical magnetic stimulation and Subgroup (A-II) and (B-II) which received sacral magnetic stimulation. UDS, pelvic ultrasound as well as Incontinence Quality of Life (I-QOL) questionnaire were compared before and after magnetic stimulation sessions in each group as well as between groups. UDS showed significant reduction in bladder capacity, improvement in bladder contractility in all groups and subgroups. Moreover, it showed improvement of urine flow rate only in Group B. Reduction of post-void residual urine was noted in all subgroups except in (Group A-II). I-QOL questionnaire showed improvement in patients with underactive bladder only. Intergroup comparison between A and B showed no difference. Cortical as well as sacral magnetic stimulation showed significant effect on lower urinary tract dysfunction that led to improvement in symptoms in MS patients with underactive bladder, rather than those with overactive bladder."
523,Stanislav Rodkin,"Neuron and glia death after axon transection is regulated by various signaling proteins. Protein p53 is a key regulator of diverse cell functions including stress response, DNA repair, proliferation, and apoptosis. We showed that p53 was overexpressed in crayfish ganglia after bilateral axotomy. In the isolated crayfish stretch receptor, a simple natural neuroglial preparation, which consists of a single mechanoreceptor neuron (MRN) enveloped by glial cells, p53 regulated axotomy-induced death of glial cells remote from the axon transection site. In MRN, p53 immunofluorescence was highest in the nucleolus and in the narrow cytoplasmic ring around the nucleus; its levels in the nucleus and cytoplasm were lower. After axotomy, p53 accumulated in the neuronal perikaryon. Its immunofluorescence also increased in the neuronal and glial nuclei. However, p53 immunofluorescence in the most of neuronal nucleoli disappeared. Axotomy-induced apoptosis of remote glial cells increased in the presence of p53 activators WR-1065 and nutlin-3 but reduced by pifithrin-α that inhibits transcriptional activity of p53. Pifithrin-μ that inhibits p53 effect on mitochondria increased axotomy-induced apoptosis of remote glial cells but reduced their necrosis. Therefore, axotomy-induced apoptosis of remote glial cells was associated with p53 effect on transcription processes, whereas glial necrosis was rather associated with transcription-independent p53 effect on mitochondria. Apparently, the fate of remote glial cells in the axotomized crayfish stretch receptor is determined by the balance between different modalities of p53 activity."
878,Shan Lin,"Charcot-Marie-Tooth disease type 2 (CMT2) is a clinically and genetically heterogeneous inherited neuropathy. Although new causative and disease-associated genes have been identified for CMT2 in recent years, molecular diagnoses are still lacking for a majority of patients. We here studied a cohort of 35 CMT2 patients of Chinese descent, using whole exome sequencing to investigate gene mutations and then explored relationships among genotypes, clinical features, and mitochondrial DNA levels in blood as assessed by droplet digital PCR. We identified pathogenic variants in 57% of CMT2 patients. The most common genetic causes in the cohort were MFN2 mutations. Two patients with typical CMT phenotype and neuromyotonia were detected to harbor compound heterozygous variations in the HINT1 gene. In conclusion, our work supports that the molecular diagnostic rate of CMT2 patients can be increased via whole exome sequencing, and our data suggest that assessment of possible HINT1 mutations should be undertaken for CMT2 patients with neuromyotonia."
112,Bethany A Freel,"Discerning the underlying pathological mechanisms and the identification of therapeutic strategies to treat individuals affected with rare neurological diseases has proven challenging due to a host of factors. For instance, rare diseases affecting the nervous system are inherently lacking in appropriate patient sample availability compared to more common diseases, while animal models often do not accurately recapitulate specific disease phenotypes. These challenges impede research that may otherwise illuminate aspects of disease initiation and progression, leading to the ultimate identification of potential therapeutics. The establishment of induced pluripotent stem cells (iPSCs) as a human cellular model with defined genetics has provided the unique opportunity to study rare diseases within a controlled environment. iPSC models enable researchers to define mutational effects on specific cell types and signaling pathways within increasingly complex systems. Among rare diseases, pediatric diseases affecting neurodevelopment and neurological function highlight the critical need for iPSC-based disease modeling due to the inherent difficulty associated with collecting human neural tissue and the complexity of the mammalian nervous system. Rare neurodevelopmental disorders are therefore ideal candidates for utilization of iPSC-based in vitro studies. In this review, we address both the state of the iPSC field in the context of their utility and limitations for neurodevelopmental studies, as well as speculating about the future applications and unmet uses for iPSCs in rare diseases."
741,Megan M Niedzwiecki,"BACKGROUND
Alzheimer's disease (AD) is a complex neurological disorder with contributions from genetic and environmental factors. High-resolution metabolomics (HRM) has the potential to identify novel endogenous and environmental factors involved in AD. Previous metabolomics studies have identified circulating metabolites linked to AD, but lack of replication and inconsistent diagnostic algorithms have hindered the generalizability of these findings. Here we applied HRM to identify plasma metabolic and environmental factors associated with AD in two study samples, with cerebrospinal fluid (CSF) biomarkers of AD incorporated to achieve high diagnostic accuracy.


METHODS
Liquid chromatography-mass spectrometry (LC-MS)-based HRM was used to identify plasma and CSF metabolites associated with AD diagnosis and CSF AD biomarkers in two studies of prevalent AD (Study 1: 43 AD cases, 45 mild cognitive impairment [MCI] cases, 41 controls; Study 2: 50 AD cases, 18 controls). AD-associated metabolites were identified using a metabolome-wide association study (MWAS) framework.


RESULTS
An MWAS meta-analysis identified three non-medication AD-associated metabolites in plasma, including elevated levels of glutamine and an unknown halogenated compound and lower levels of piperine, a dietary alkaloid. The non-medication metabolites were correlated with CSF AD biomarkers, and glutamine and the unknown halogenated compound were also detected in CSF. Furthermore, in Study 1, the unknown compound and piperine were altered in MCI patients in the same direction as AD dementia.


CONCLUSIONS
In plasma, AD was reproducibly associated with elevated levels of glutamine and a halogen-containing compound and reduced levels of piperine. These findings provide further evidence that exposures and behavior may modify AD risks."
647,Elisabetta C Del Re,"Background. Abnormalities of mismatch negativity (MMN), an event-related potential, indexing preattentive mechanisms, are consistently reported in schizophrenia (SZ). MMN abnormalities elicited to different deviant types have been recently shown to distinguish among patients according to length of their illness as well as inpatient versus outpatient status, and to be modulated by premorbid IQ. The objective of this study was to evaluate the MMN elicited by both frequency and duration deviant stimuli in patients with early schizophrenia (EP) recruited from an outpatient clinic in Boston, Massachusetts. Methods. Twenty-two healthy controls (HC) and 22 age-, handedness-, and gender-matched EP were tested using a frequency and duration MMN paradigm. Clinical data were also collected. Results. Frequency MMN amplitude but not duration MMN was significantly reduced in EP relative to HC subjects (P = .015). Conclusions. These results indicate that in this sample of early psychosis outpatient group, reductions in frequency MMN but not in duration MMN index clinical status. The relationship between age at first hospitalization and MMN frequency and duration amplitude and latency indicates that neurodevelopmental stage, auditory function, and clinical status are tightly linked."
